%table date	k-BTC	c-BTC	k-BCH	c-BCH	k-LTC	c-LTC
Tue Dec 26 04:55:25 UTC 2017	1127600.0	1124000.0	216500.0	221994.0	21160.0	21520.0	
Tue Dec 26 05:55:07 UTC 2017	1144000.0	1140000.0	216800.0	221940.0	21100.0	21500.0	
Tue Dec 26 06:55:07 UTC 2017	1174000.0	1144500.0	216201.0	218510.0	21150.0	21470.0	
Tue Dec 26 07:56:44 UTC 2017	1160000.0	1150000.0	216200.0	219950.0	21061.0	21480.0	
Tue Dec 26 08:56:37 UTC 2017	1149000.0	1150101.0	216000.0	219200.0	21100.0	21411.0	
Tue Dec 26 09:55:09 UTC 2017	1147900.0	1142560.0	216000.0	219949.0	21125.0	21500.0	
Tue Dec 26 10:55:19 UTC 2017	1152400.0	1153998.99	216000.0	219740.0	21050.0	21500.0	
Tue Dec 26 11:55:44 UTC 2017	1147500.0	1145000.0	216000.0	218649.0	20978.0	21250.0	
Tue Dec 26 12:55:10 UTC 2017	1156000.0	1157999.99	216000.0	217990.0	21000.0	21111.0	
Tue Dec 26 13:55:25 UTC 2017	1160000.0	1157495.0	215900.0	216600.0	20900.0	21149.99	
Tue Dec 26 14:55:23 UTC 2017	1184000.0	1174000.0	214600.0	214200.0	21000.0	21250.0	
Tue Dec 26 15:55:08 UTC 2017	1210000.0	1198000.0	215499.0	216900.0	20950.0	21100.0	
Tue Dec 26 16:55:09 UTC 2017	1247000.0	1223020.0	213999.0	216950.0	21180.0	21240.0	
Tue Dec 26 17:55:30 UTC 2017	1220001.0	1191011.0	214500.0	213000.0	21299.0	21120.9	
Tue Dec 26 18:56:12 UTC 2017	1215500.0	1209998.0	214800.0	214990.0	21420.0	21250.0	
Tue Dec 26 20:06:21 UTC 2017	1220100.0	1213999.0	214001.0	210000.0	21330.0	21200.0	
Tue Dec 26 20:10:39 UTC 2017	1220000.0	1214000.0	213800.0	210000.0	21337.99	21200.0	
Tue Dec 26 20:14:56 UTC 2017	1225000.0	1214000.0	214299.0	210000.0	21336.0	21200.0	
